encoderAngle, potentiometerVoltage
-232.20703125, 0.2109375
-233.26171875, 0.22265625
-234.31640625, 0.21875
-235.283203125, 0.22265625
-236.162109375, 0.22265625
-237.12890625, 0.21875
-238.0078125, 0.23046875
-238.798828125, 0.21484375
-239.58984375, 0.23046875
-240.29296875, 0.22265625
-240.99609375, 0.22265625
-241.787109375, 0.23046875
-242.666015625, 0.22265625
-243.544921875, 0.234375
-244.51171875, 0.2265625
-245.390625, 0.234375
-246.26953125, 0.23046875
-247.1484375, 0.23046875
-248.02734375, 0.23828125
-248.818359375, 0.2265625
-249.43359375, 0.23828125
-250.048828125, 0.23046875
-250.576171875, 0.23828125
-251.103515625, 0.23828125
-251.71875, 0.23046875
-252.333984375, 0.2421875
-252.94921875, 0.2265625
-253.65234375, 0.2421875
-254.35546875, 0.234375
-255.05859375, 0.23828125
-255.849609375, 0.2421875
-256.640625, 0.234375
-257.607421875, 0.24609375
-258.3984375, 0.23828125
-259.27734375, 0.24609375
-260.15625, 0.2421875
-261.123046875, 0.2421875
-262.001953125, 0.25
-262.96875, 0.2421875
-263.759765625, 0.25390625
-264.55078125, 0.23828125
-265.166015625, 0.25
-265.78125, 0.24609375
-266.396484375, 0.24609375
-266.8359375, 0.2578125
-267.1875, 0.2421875
-267.626953125, 0.2578125
-267.978515625, 0.24609375
-268.505859375, 0.25
-269.12109375, 0.25
-269.82421875, 0.24609375
-270.52734375, 0.2578125
-271.23046875, 0.24609375
-271.93359375, 0.26171875
-272.548828125, 0.25
-273.1640625, 0.25390625
-273.779296875, 0.2578125
-274.39453125, 0.25
-275.09765625, 0.26171875
-275.712890625, 0.25
-276.416015625, 0.26171875
-276.943359375, 0.2578125
-277.470703125, 0.2578125
-277.998046875, 0.26171875
-278.61328125, 0.25
-279.228515625, 0.265625
-279.931640625, 0.25390625
-280.72265625, 0.26953125
-281.513671875, 0.265625
-282.392578125, 0.2578125
-283.271484375, 0.26953125
-284.23828125, 0.25390625
-284.94140625, 0.2734375
-285.8203125, 0.26171875
-286.611328125, 0.26953125
-287.314453125, 0.26953125
-287.9296875, 0.26171875
-288.45703125, 0.2734375
-288.896484375, 0.26171875
-289.248046875, 0.27734375
-289.51171875, 0.265625
-289.775390625, 0.26953125
-290.0390625, 0.2734375
-290.302734375, 0.265625
-290.654296875, 0.27734375
-291.09375, 0.265625
-291.533203125, 0.2734375
-292.1484375, 0.26953125
-292.8515625, 0.26953125
-293.5546875, 0.27734375
-294.345703125, 0.265625
-294.9609375, 0.28125
-295.576171875, 0.26953125
-296.19140625, 0.27734375
-296.71875, 0.27734375
-297.24609375, 0.2734375
-297.7734375, 0.28125
-298.388671875, 0.26953125
-298.916015625, 0.28515625
-299.619140625, 0.2734375
-300.234375, 0.28125
-301.025390625, 0.28125
-301.81640625, 0.27734375
-302.51953125, 0.2890625
-303.3984375, 0.2734375
-304.27734375, 0.29296875
-305.15625, 0.28125
-306.123046875, 0.28515625
-307.001953125, 0.2890625
-307.880859375, 0.27734375
-308.84765625, 0.296875
-309.7265625, 0.28125
-310.60546875, 0.29296875
-311.484375, 0.2890625
-312.36328125, 0.28515625
-313.06640625, 0.296875
-313.681640625, 0.28125
-314.296875, 0.3046875
-315.0, 0.28515625
-315.615234375, 0.296875
-316.142578125, 0.29296875
-316.7578125, 0.2890625
-317.28515625, 0.30078125
-317.63671875, 0.28515625
-318.1640625, 0.3046875
-318.603515625, 0.29296875
-319.04296875, 0.296875
-319.658203125, 0.296875
-320.185546875, 0.29296875
-320.80078125, 0.30859375
-321.416015625, 0.28515625
-322.03125, 0.3046875
-322.646484375, 0.29296875
-323.349609375, 0.30078125
-324.052734375, 0.3046875
-324.580078125, 0.2890625
-325.1953125, 0.30859375
-325.72265625, 0.296875
-326.25, 0.30859375
